职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
嵌入式工程师,1-1.3万,陕西正坤锁业有限公司,西安,新城,长乐西路,1-3年,本科,金属制品业,20-99人,民营
嵌入式C语言软件工程师,1.3-2.6万,希诺麦田技术(深圳)有限公司,西安,雁塔,漳浒寨,5-10年,本科,通信/网络设备,100-299人,股份制企业
嵌入式软件工程师,1.5-2万,北京国科环宇科技股份有限公司,西安,雁塔,电子城,1-3年,硕士,船舶/航空/航天/火车制造,300-499人,民营
嵌入式软件工程师,6000-12000元,陕西风雷仪表有限公司,西安,,韦曲,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
嵌入式Linux软件工程师,1.5-2万·13薪,正齐半导体(杭州)有限公司,西安,雁塔,丈八沟,5-10年,本科,电子/半导体/集成电路,100-299人,外商独资
软件主任工程师,1.3-1.5万,陕西正坤锁业有限公司,西安,新城,长乐西路,3-5年,本科,金属制品业,20-99人,民营
嵌入式开发工程师,1.2-1.8万,西安因联信息科技有限公司,西安,雁塔,杜城,3-5年,本科,物联网,100-299人,民营
高级嵌入式软件工程师,9000-15000元,西安华欧精密机械有限责任公司,西安,未央,汉城,3-5年,本科,金属制品业,500-999人,民营
嵌入式/物联网STM32/Linux/C+讲师,1-1.5万,西安长疆数据设备技术有限公司,西安,未央,谭家,3-5年,本科,通信/网络设备,20-99人,
嵌入式软件工程师,8000-12000元,陕西天翌科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,300-499人,股份制企业
嵌入式软件开发工程师,1-2万·13薪,陕西雷能电子科技有限公司,西安,,,3-5年,大专,电子/半导体/集成电路,100-299人,民营
研发工程师,6000-10000元,陕西天利自动化设备有限公司,西安,雁塔,电子城,1-3年,本科,计算机硬件,20-99人,民营
高级Linux嵌入式开发工程师,1.5-3万,浙江赛思电子科技有限公司,西安,雁塔,丈八沟,1-3年,本科,通信/网络设备,100-299人,股份制企业
CISD软件工程师（西安）,1.5-3万,深圳古瑞瓦特新能源有限公司,西安,雁塔,丈八沟,经验不限,本科,新能源,1000-9999人,民营
嵌入式软件开发工程师,面议,华为技术有限公司,西安,雁塔,丈八沟,经验不限,本科,运营商/增值服务,10000人以上,民营
嵌入式软硬件工程师,8000-10000元,中盛凯新,西安,新城,长乐西路,3-5年,本科,医药制造,20-99人,民营
嵌入式软件开发工程师,1.5-3万,阿尔泰科技,西安,雁塔,电子城,3-5年,大专,电子/半导体/集成电路,100-299人,民营
伺服软件开发工程师,1-2万,北京航星传动科技有限公司,西安,碑林,张家村,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
海康机器人-嵌入式软件开发工程师-工控-西安,2.5-3.5万,杭州海康威视数字技术股份有限公司,西安,高新区,,1-3年,本科,人工智能,10000人以上,上市公司
监控软件工程师（西安）,1.5-3万,深圳古瑞瓦特新能源有限公司,西安,雁塔,丈八沟,经验不限,本科,新能源,1000-9999人,民营
嵌入式软件开发工程师,1.5-3万,西安捷通智创仪器设备有限公司,西安,雁塔,,1-3年,本科,仪器仪表制造,20-99人,民营
嵌入式工程师,1.3-2.2万,合众思壮,西安,雁塔,丈八沟,3-5年,本科,运营商/增值服务,1000-9999人,上市公司
高级嵌入式软件工程师,2-4万,宏晶微电子科技股份有限公司,西安,雁塔,电子城,5-10年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式软件开发工程师（上海办公）,1.8-2.2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,互联网,10000人以上,民营
嵌入式硬件研发工程师,1.4-1.8万,西安乐驰科技有限公司,西安,雁塔,漳浒寨,3-5年,大专,仪器仪表制造,20-99人,民营
嵌入式硬件工程师（电机）,8000-13000元,西安航空制动科技有限公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,1000-9999人,国企
西安-光电吊舱伺服软件开发工程师,9000-18000元,拓扑联创(北京)科技有限公司,西安,雁塔,电子城,3-5年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式软件开发工程师,2-3.5万,浙江赛思电子科技有限公司,西安,雁塔,,5-10年,本科,通信/网络设备,100-299人,股份制企业
嵌入式开发工程师,1.5-2.5万,西安融众电子信息科技有限公司,西安,雁塔,杜城,3-5年,本科,电子/半导体/集成电路,20-99人,民营
高级嵌入式软件工程师(J10042),1.5-3万·14薪,江苏为恒智能科技有限公司,西安,雁塔,等驾坡,3-5年,本科,新能源,300-499人,合资
软件开发工程师（C/C++/Java/Python/js）,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
嵌入式软件开发,1.4-1.8万,西安大合智能科技有限公司,西安,长安,韦曲,3-5年,本科,IT服务,20-99人,民营
嵌入式软件工程师,1.2-2万·14薪,西安瑞新康达医疗科技有限公司,西安,雁塔,鱼化寨,1-3年,硕士,医疗设备/器械,20-99人,民营
嵌入式软件开发,1.5-3万,龙芯中科,西安,雁塔,漳浒寨,5-10年,硕士,电子/半导体/集成电路,500-999人,上市公司
嵌入式软件工程师,1-2万,西安航晨机电科技股份有限公司,西安,长安,韦曲,5-10年,本科,船舶/航空/航天/火车制造,100-299人,民营
嵌入式软件开发工程师,1.5-2.2万,杭州海康威视数字技术股份有限公司,西安,雁塔,漳浒寨,5-10年,本科,人工智能,10000人以上,上市公司
嵌入式开发软件工程师,1.2-2.4万,西安铭朗电子科技有限责任公司,西安,雁塔,丈八沟,5-10年,本科,电子设备制造,20-99人,民营
嵌入式操作系统测试,面议,中软国际,西安,雁塔,杜城,经验不限,本科,计算机软件,10000人以上,上市公司
硬件工程师-校招岗位,1-1.3万·13薪,江苏泽景汽车电子股份有限公司,西安,雁塔,丈八沟,无经验,本科,汽车零部件,500-999人,股份制企业
嵌入式硬件工程师,1.3-1.5万,西安科途测控自动化科技有限公司,西安,雁塔,漳浒寨,10年以上,硕士,仪器仪表制造,20人以下,民营
嵌入式软件主管,3-5万,西安索格亚航空科技有限公司,西安,雁塔,电子城,3-5年,硕士,计算机软件,20人以下,民营
嵌入式软件工程师（双休、五险一金）,1.1-2.2万,定华电子,西安,长安,郭杜,5-10年,本科,仪器仪表制造,100-299人,股份制企业
高级软件开发工程师/架构师,面议,华为技术有限公司,西安,雁塔,丈八沟,经验不限,本科,运营商/增值服务,10000人以上,民营
C++开发工程师,1.6-2.8万,软通动力信息技术(集团)股份有限公司,西安,,王寺,1-3年,本科,互联网,10000人以上,民营
嵌入式/软件工程师,1-2万,陕西益华电气股份有限公司,西安,雁塔,曲江,3-5年,本科,电气机械/电力设备,100-299人,民营
电机驱动软件工程师,8000-15000元·14薪,西安庆安航空电子有限公司,西安,莲湖,土门,1-3年,本科,电子/半导体/集成电路,100-299人,国企
高级嵌入式开发工程师,1.2-2万,陕西中科安达信息科技有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20-99人,民营
嵌入式单片机工程师,1.5-2.5万,陕西中核贝森电子科技有限公司,西安,雁塔,丈八沟,1-3年,本科,仪器仪表制造,20人以下,民营
手表手环嵌入式开发,8000-16000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
高级嵌入式软件工程师,1.4-2.3万·13薪,西安埃格洛瑞技术有限责任公司,西安,雁塔,电子城,3-5年,本科,云计算/大数据,20人以下,
嵌入式开发工程师,8000-16000元,埃德泰克(西安)智能科技有限公司,西安,未央,大明宫,3-5年,本科,计算机软件,20人以下,民营
嵌入式开发工程师,1.1-1.9万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
嵌入式工程师,1.6-3万,北京博华信智科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,石油/石化,500-999人,股份制企业
伺服软件工程师,2-3万·14薪,深圳联合飞机科技有限公司,西安,雁塔,鱼化寨,3-5年,本科,船舶/航空/航天/火车制造,100-299人,民营
c/c++,1-1.5万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,3-5年,本科,互联网,10000人以上,民营
嵌入式软件工程师（西安）,1.5-3万·13薪,睿能科技(北京)有限公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
嵌入式软件工程师,1-1.8万,中航星(西安)智能系统有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机软件,20-99人,民营
arm嵌入式软件工程师,1.5-2万,西安中科洺光测控技术有限公司,西安,雁塔,丈八沟,5-10年,硕士,船舶/航空/航天/火车制造,20-99人,民营
嵌入式软件工程师（双休/外资/五险一金）,1.3-1.5万·13薪,西安博特睿电子科技有限公司,西安,雁塔,电子城,3-5年,本科,电子/半导体/集成电路,100-299人,外商独资
嵌入式软件开发,1.5-2万,利德世普,西安,莲湖,漳浒寨,5-10年,本科,运营商/增值服务,300-499人,民营
单机片开发工程师,1.5-3万·14薪,北京均友,西安,雁塔,丈八沟,5-10年,本科,仪器仪表制造,100-299人,民营
操作系统测试工程师,面议,中软国际,西安,雁塔,杜城,3-5年,本科,计算机软件,10000人以上,上市公司
嵌入式软件工程师,1.8-2.5万,北京理工雷科电子信息技术有限公司,西安,长安,郭杜,5-10年,本科,电子/半导体/集成电路,500-999人,上市公司
嵌入式软件工程师,2-4万·14薪,北京蓝箭鸿擎科技有限公司,西安,雁塔,电子城,5-10年,硕士,船舶/航空/航天/火车制造,100-299人,
嵌入式硬件设计工程师,6000-8000元,国力信息,西安,长安,郭杜,3-5年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式硬件工程师,5000-6000元,西安克莱姆电子科技有限公司,西安,雁塔,丈八沟,经验不限,本科,电子/半导体/集成电路,20-99人,民营
25届硕士研究生-嵌入式 算法方向,1.3-2万·13薪,西安精准测控有限责任公司,西安,长安,郭杜,无经验,硕士,仪器仪表制造,20-99人,民营
嵌入式软件工程师,2-4万·14薪,北京蓝箭鸿擎科技有限公司,西安,长安,韦曲,5-10年,硕士,船舶/航空/航天/火车制造,100-299人,
嵌入式软件工程师(西安）,1.5-2万,北京康达恒业科技发展有限公司,西安,雁塔,丈八沟,3-5年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式工程师（西安）,面议,中软国际,西安,雁塔,丈八沟,3-5年,本科,计算机软件,10000人以上,上市公司
资深嵌入式Linux工程师,1.8-3万·14薪,浙江赛思电子科技有限公司,西安,雁塔,,5-10年,本科,通信/网络设备,100-299人,股份制企业
嵌入式软件开发工程师,1.5-2.5万,尧云科技(西安)有限公司,西安,长安,郭杜,3-5年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式软件高级工程师,1.2-1.6万,德国迈隆（西安）电子技术公司,西安,,漳浒寨,3-5年,本科,电子/半导体/集成电路,100-299人,合资
嵌入式工程师,1.2-1.7万,西安航天基地德创电子科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,人力资源服务,100-299人,民营
嵌入式软件工程师（通信）,2-3万·15薪,特变电工新能源公司,西安,长安,郭杜,5-10年,本科,新能源,1000-9999人,上市公司
嵌入式工程师（软硬件开发）,8000-13000元,西安鼎研科技股份有限公司,西安,长安,郭杜,1-3年,本科,仪器仪表制造,100-299人,民营
嵌入式开发工程师-西安,面议,华勤技术股份有限公司,西安,雁塔,鱼化寨,3-5年,本科,计算机硬件,10000人以上,上市公司
嵌入式硬件开发工程师,面议,中软国际,西安,雁塔,鱼化寨,经验不限,本科,计算机软件,10000人以上,上市公司
嵌入式软件工程师,1.5-2.5万·15薪,特变电工新能源公司,西安,高新区,郭杜,5-10年,本科,新能源,1000-9999人,上市公司
嵌入式软件研发工程师,1.6-3万,西安翔腾微电子科技有限公司,西安,碑林,张家村,3-5年,硕士,电子/半导体/集成电路,500-999人,国企
嵌入式软件工程师,7000-14000元,成都正扬博创电子技术有限公司,西安,雁塔,丈八沟,1-3年,本科,电子/半导体/集成电路,100-299人,民营
c++上位机开发工程师,1.2-1.6万,希德电子,西安,长安,韦曲,3-5年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式硬件开发工程师,8000-12000元,陕西科维立创科技股份有限公司,西安,雁塔,电子城,1-3年,本科,客运服务,20-99人,民营
固件工程师,1.1-2万·14薪,新北洋,西安,雁塔,漳浒寨,5-10年,本科,电子/半导体/集成电路,1000-9999人,股份制企业
嵌入式软件工程师(J10040),1.2-2.4万·14薪,江苏为恒智能科技有限公司,西安,雁塔,等驾坡,1-3年,本科,新能源,300-499人,合资
高级软件工程师,2-3万,北京信而泰科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,通信/网络设备,100-299人,股份制企业
C++,1-1.5万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
嵌入式开发工程师,1.5-2万,西安睿奥电磁环境科技有限公司,西安,雁塔,丈八沟,3-5年,本科,通信/网络设备,20-99人,股份制企业
嵌入式开发工程师,1.3-2.2万,北京世冠金洋科技发展有限公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,100-299人,民营
嵌入式软件工程师,1.5-2.2万·15薪,和利时集团,西安,雁塔,鱼化寨,3-5年,硕士,仪器仪表制造,1000-9999人,上市公司
嵌入式开发工程师(J10086),1.5-2.5万,烟台睿创微纳技术股份有限公司,西安,雁塔,漳浒寨,5-10年,本科,电子/半导体/集成电路,1000-9999人,民营
arm嵌入式开发工程师,1.5-3万,天健九方(西安)毫米波设计研究院有限公司,西安,碑林,张家村,5-10年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式软件工程师（国网三相智能电表）,1.5-2.5万,航天亮丽电气有限责任公司,西安,长安,王寺,5-10年,本科,仪器仪表制造,300-499人,国企
软件工程师（仪器仪表方向）,1.2-1.5万,西安泰戈电气科技有限公司,西安,长安,杜曲,3-5年,本科,仪器仪表制造,20-99人,民营
嵌入式工程师,1-2万,陕西天润科技股份有限公司,西安,碑林,文艺路,3-5年,本科,IT服务,500-999人,民营
嵌入式软件工程师,2-3万,因诺科技,西安,雁塔,鱼化寨,5-10年,本科,船舶/航空/航天/火车制造,300-499人,民营
嵌入式软件高级工程师,1.2-1.6万,德国迈隆（西安）电子技术公司,西安,,丈八沟,3-5年,本科,电子/半导体/集成电路,100-299人,合资
软件设计员（硕、博）,1.5-3万·13薪,陕西东方航空仪表有限责任公司,西安,长安,韦曲,经验不限,硕士,仪器仪表制造,500-999人,国企
电机驱动软件工程师,9000-18000元,西安庆安航空电子有限公司,西安,雁塔,,3-5年,本科,电子/半导体/集成电路,100-299人,国企
